code,city,district,neighborhood,latitude,longitude
NONE,서울특별시,종로구,NONE,37.5730,126.9794
NONE,서울특별시,중구,NONE,37.5635,126.9975
NONE,서울특별시,용산구,NONE,37.5320,126.9900
NONE,서울특별시,성동구,NONE,37.5509,127.0368
NONE,서울특별시,광진구,NONE,37.5385,127.0825
NONE,서울특별시,동대문구,NONE,37.5744,127.0400
NONE,서울특별시,중랑구,NONE,37.5953,127.0926
NONE,서울특별시,성북구,NONE,37.5894,127.0167
NONE,서울특별시,강북구,NONE,37.6396,127.0257
NONE,서울특별시,도봉구,NONE,37.6688,127.0471
NONE,서울특별시,노원구,NONE,37.6542,127.0568
NONE,서울특별시,은평구,NONE,37.6026,126.9291
NONE,서울특별시,서대문구,NONE,37.5791,126.9368
NONE,서울특별시,마포구,NONE,37.5665,126.9018
NONE,서울특별시,양천구,NONE,37.5171,126.8661
NONE,서울특별시,강서구,NONE,37.5509,126.8497
NONE,서울특별시,구로구,NONE,37.4952,126.8876
NONE,서울특별시,금천구,NONE,37.4569,126.9020
NONE,서울특별시,영등포구,NONE,37.5263,126.8967
NONE,서울특별시,동작구,NONE,37.4824,126.9820
NONE,서울특별시,관악구,NONE,37.4784,126.9516
NONE,서울특별시,서초구,NONE,37.4837,127.0324
NONE,서울특별시,강남구,NONE,37.5172,127.0473
NONE,서울특별시,송파구,NONE,37.5145,127.1060
NONE,서울특별시,강동구,NONE,37.5301,127.1237
NONE,부산광역시,중구,NONE,35.1060,129.0328
NONE,부산광역시,서구,NONE,35.0979,129.0244
NONE,부산광역시,동구,NONE,35.1291,129.0454
NONE,부산광역시,영도구,NONE,35.0914,129.0675
NONE,부산광역시,부산진구,NONE,35.1628,129.0528
NONE,부산광역시,동래구,NONE,35.2024,129.0847
NONE,부산광역시,남구,NONE,35.1366,129.0843
NONE,부산광역시,북구,NONE,35.1971,128.9902
NONE,부산광역시,해운대구,NONE,35.1631,129.1637
NONE,부산광역시,사하구,NONE,35.1046,128.9759
NONE,부산광역시,금정구,NONE,35.2428,129.0927
NONE,부산광역시,강서구,NONE,35.2121,128.9817
NONE,부산광역시,연제구,NONE,35.1761,129.0798
NONE,부산광역시,수영구,NONE,35.1454,129.1135
NONE,부산광역시,사상구,NONE,35.1525,128.9913
NONE,부산광역시,기장군,NONE,35.2446,129.2224
NONE,대구광역시,중구,NONE,35.8700,128.5858
NONE,대구광역시,동구,NONE,35.8866,128.6350
NONE,대구광역시,서구,NONE,35.8719,128.5594
NONE,대구광역시,남구,NONE,35.8462,128.5970
NONE,대구광역시,북구,NONE,35.8858,128.5828
NONE,대구광역시,수성구,NONE,35.8582,128.6320
NONE,대구광역시,달서구,NONE,35.8299,128.5327
NONE,대구광역시,달성군,NONE,35.7744,128.4314
NONE,대구광역시,군위군,NONE,36.2428,128.5728
NONE,인천광역시,중구,NONE,37.4738,126.6218
NONE,인천광역시,동구,NONE,37.4737,126.6432
NONE,인천광역시,미추홀구,NONE,37.4635,126.6505
NONE,인천광역시,연수구,NONE,37.4100,126.6785
NONE,인천광역시,남동구,NONE,37.4469,126.7320
NONE,인천광역시,부평구,NONE,37.5070,126.7219
NONE,인천광역시,계양구,NONE,37.5373,126.7379
NONE,인천광역시,서구,NONE,37.5450,126.6753
NONE,인천광역시,강화군,NONE,37.7464,126.4881
NONE,인천광역시,옹진군,NONE,37.2466,126.3084
NONE,광주광역시,동구,NONE,35.1459,126.9232
NONE,광주광역시,서구,NONE,35.1516,126.8899
NONE,광주광역시,남구,NONE,35.1328,126.9025
NONE,광주광역시,북구,NONE,35.1741,126.9116
NONE,광주광역시,광산구,NONE,35.1395,126.7937
NONE,대전광역시,동구,NONE,36.3119,127.4345
NONE,대전광역시,중구,NONE,36.3252,127.4214
NONE,대전광역시,서구,NONE,36.3557,127.3844
NONE,대전광역시,유성구,NONE,36.3621,127.3564
NONE,대전광역시,대덕구,NONE,36.3473,127.4145
NONE,울산광역시,중구,NONE,35.5696,129.3325
NONE,울산광역시,남구,NONE,35.5438,129.3303
NONE,울산광역시,동구,NONE,35.5049,129.4165
NONE,울산광역시,북구,NONE,35.5827,129.3611
NONE,울산광역시,울주군,NONE,35.5223,129.2421
NONE,세종특별자치시,세종특별자치시,NONE,36.4808,127.2892
NONE,경기도,수원시,장안구,37.3048,127.0110
NONE,경기도,수원시,권선구,37.2577,127.0192
NONE,경기도,수원시,팔달구,37.2847,127.0358
NONE,경기도,수원시,영통구,37.2597,127.0705
NONE,경기도,성남시,수정구,37.4474,127.1458
NONE,경기도,성남시,중원구,37.4304,127.1372
NONE,경기도,성남시,분당구,37.3829,127.1192
NONE,경기도,안양시,만안구,37.3934,126.9332
NONE,경기도,안양시,동안구,37.3925,126.9515
NONE,경기도,부천시,원미구,37.5034,126.7862
NONE,경기도,부천시,소사구,37.4802,126.7945
NONE,경기도,부천시,오정구,37.5273,126.7899
NONE,경기도,안산시,상록구,37.3037,126.8462
NONE,경기도,안산시,단원구,37.3194,126.8131
